v_UMS4-qifK9A_2_52,he starts to play an electric guitar
v_ZNUkzdw2EeI_0_48,an athletic man is seen stepping up to a circle and throwing a discuss off into the distance
v_ZNUkzdw2EeI_47_112,he then runs excitedly while cameras follow him and shown other athletes spinning the disk
v_g7IZWqeyM20_2_111,a man appears with a racket and he s talking to the camera as he hits a racketball then various small clips play afterwards that include him hitting the racketball as well as various other people playing too
v_-AjZCBMb4qU_0_57,a girl is seating in front of a table playing an accordian
v_-AjZCBMb4qU_58_117,she stares at the camera as she plays the keyboard and pulls the accordian in and out
v_IT9uvR9yjxI_0_40,an intro is shown of maps and a house close up
v_IT9uvR9yjxI_38_73,afterwards a close up of a roof is shown as well as logos
v_OtcJMIJTTx4_0_5,a little girl stands on a diving board
v_OtcJMIJTTx4_4_8,then the little girl jumps flip and dives in the swimming pool
v_OtcJMIJTTx4_0_9,people are in the swimming pool
v_bX8QXK9mjKA_0_11,a large group of people are at a carnival playing in their own bumper cars and a few of them bump into one another and come to a stop
v_bX8QXK9mjKA_10_14,they laugh and begin to pull their bumper cars away from one another
v_bX8QXK9mjKA_13_61,the people start driving around again where they all continue to either bump into one another or just drive around
v_bX8QXK9mjKA_60_65,eventually all the bumper cars come to a complete stop and the ride is over
v_igwT-3gprOI_13_115,she stands in front of the building doing a several little dances and continues this in front of several buildings and locations
v_yVK-GMdc9UA_2_28,he is ironing clothes on an ironing board
v_yVK-GMdc9UA_27_54,he flips the clothes over and irons the other side
v_BwwjQZDn3NE_0_18,a man is seen outside dancing to himself while wiping a rag on the car
v_BwwjQZDn3NE_12_52,the weather is pouring rain and the man continues to dance around the car holding a rag
v_BwwjQZDn3NE_50_66,the man moves to the front of the car followed by taking his shirt off and waving to the camera
v_p9yq0kAqGU4_0_109,men pull a rope in a game of tug of war
v_p9yq0kAqGU4_52_63,a lady bends down to take a photo and a lady walks and films the even
v_p9yq0kAqGU4_99_104,we see a tower in the field
v_p9yq0kAqGU4_109_114,the men let go of the rope one man falls and claps
v_p9yq0kAqGU4_136_142,a man smiles and gives a thumbs up to the camera
v_xC9s-_MNO_Q_0_104,we see a man decorating a christmas tree
v_xC9s-_MNO_Q_0_20,the man adds a string of lights
v_xC9s-_MNO_Q_9_13,a little girl ads bulbs to the tree
v_xC9s-_MNO_Q_15_21,the man turns the lights on
v_xC9s-_MNO_Q_53_74,the man and the girl add bulbs to the tree
v_xC9s-_MNO_Q_71_103,the lady adds ornaments to the tree
v_xC9s-_MNO_Q_89_94,the man stands on a ladder and adds ornaments
v_xC9s-_MNO_Q_104_123,the lady turns off the lights and the family looks at the tree together
v_xC9s-_MNO_Q_114_117,the man and woman kiss each other
v_J8VMY1SPJaY_0_57,a woman is seen speaking to the camera that leads into clips of people riding in kayaks and camels wandering around
v_J8VMY1SPJaY_65_177,more clips are shown of people riding around the water in a kayak
v_J8VMY1SPJaY_126_216,the person paddles themselves along the water with other people riding near him
v_skSPijG9sgU_0_86,a few kids are seen standing on a stage followed by the children pushing a puck along the ice
v_skSPijG9sgU_78_221,several people are shown playing the game around them and panning to the audience reacting as well as people standing on the sides
v_uMQEaWGQvrc_4_11,the man bounces on the board two times then dives into the water
v_XzYtm5WdAE8_0_8,a man is seen standing in a large field behind a piece of heavy machinery
v_XzYtm5WdAE8_6_25,the man pushes the machine along some tall grass while the camera follows his movements
v_XzYtm5WdAE8_22_32,the man continues pushing along the high grass
v_yVsOoFr61x4_0_9,a young girl is seen walking to the end of a diving board with several other people around her
v_yVsOoFr61x4_8_20,the girl puts her arms up and then dives into the pool
v_yVsOoFr61x4_19_25,she s seen again coming to the surface in the pool and swimming over to the edge
v_Vfb3LmFDols_11_26,we see people start when the gate opens
v_Vfb3LmFDols_25_125,we then see people riding bikes
v_Xf8y5_b2dq4_0_37,a man is seen holding onto a paint machine and spraying it around all the furniture
v_Xf8y5_b2dq4_38_114,he continues painting around the area while the camera pans around his movements
v_Xf8y5_b2dq4_88_161,he finishes the painting and the camera pans around the furniture
v_QEdbqJijx1w_15_45,she then holds up a contact lens and puts one in her eye
v_QEdbqJijx1w_38_76,she puts another contact in her eye and smiles to the camera
v_s0YJOzALDNg_0_10,a group of people are under a covering
v_s0YJOzALDNg_12_52,they are riding around in a series of bumper cars
v_s0YJOzALDNg_52_65,the cars bump into each other as they drive around
v_EOradtej9GU_0_28,a mountain full of snow appears and a man begins skiing down the slopes
v_EOradtej9GU_27_64,as he skis more men appear before he reappears by himself
v_EOradtej9GU_63_102,once alone the man skis rapidly down the slopes and does spins and kneels as he skis
v_EOradtej9GU_101_122,eventually he goes to fast and ends up flipping over into a pile of snow
v_-5KAycAQlC4_0_30,a man is being pulled on a water ski as he floats in the water casually
v_-5KAycAQlC4_31_99,he mounts the water ski and tears through the water at fast speeds
v_-5KAycAQlC4_105_140,two men are shown sitting in the boat before cutting back to the turbulent water skiing
v_m7XKITsRtVw_0_80,a man and a woman are drinking coffee outside next to a camper
v_-vDMeHr1ZfI_37_230,people is doing kayaking in a lake going though the lake with big gren vegetation
v_rggwT0-G5sk_0_56,two young men are shown running back and fourth down a court hitting a tennis ball
v_rggwT0-G5sk_7_35,they keep hitting the ball against the wall and chasing the ball around
v_rggwT0-G5sk_33_55,one pauses and hits the ball on his racket and again throws it for the boys to play
v_rggwT0-G5sk_56_79,one falls down on the ground towards the end and the other helps him up
v_dI1RqUHyWYo_0_90,several people at an indoor pool jump off of a diving board into the pool water below exhibiting a mix of advanced diving techniques and diving technique mishaps
v_dI1RqUHyWYo_0_60,several divers jump off of the diving board into the water below performing many techniques including flips
v_dI1RqUHyWYo_66_91,more less successful dives are shown near the end of the clip before the scene fades to black
v_l0Sz7dqLzqs_0_40,a large crowd is seen sitting in front of a pool followed by several shots of two people diving into a pool
v_l0Sz7dqLzqs_38_116,more shots are shown of divers performing impressive stunts into the pool and ends with them walking away and their score being shown
v_0gA_3BAxtVM_0_176,people are riding bicycles around a dirt track
v_0gA_3BAxtVM_102_110,several people crash into each other and fall down on the track
v_Gkv5ibx0tYw_0_98,a woman with short blonde hair is sitting in a chair talking
v_Gkv5ibx0tYw_39_62,she holds up a hair curler and puts it in her hair
v_Gkv5ibx0tYw_62_98,she takes it out and continues talking
v_BbeZ2t__2iA_0_4,a close up of a man is seen holding a coffee cup and leads into him taking a sip
v_BbeZ2t__2iA_3_10,he nods his head in approval to the coffee and is shown again drinking more coffee next to a person
v_VwclmKWo_-M_0_121,there are three young men in a house
v_VwclmKWo_-M_47_61,then he begins chopping tomatoes and lettuce to make a sandwich
v_VwclmKWo_-M_60_78,he slices some ham and makes two toasts in a toaster
v_VwclmKWo_-M_75_92,then he puts mayonnaise on the bread and tops it with the meat lettuce and tomato
v_VwclmKWo_-M_88_99,he cuts the sandwich in half and serves it on a plate
v_VwclmKWo_-M_95_106,then he offers the sandwich plate to the man seated on the couch eating the doritos
v_VwclmKWo_-M_102_121,the man takes the plate and takes a bite of the sandwich as the other man stands next to him and watches
v_ESgcgoYgg0o_40_174,woman gives her contact lenses and he other woman holds it with the index finger put some some liquid and put it in the eye then do the same with the other contact put the lenses and talk to the other woman
v_PqP3JIJEU5I_0_53,a man is smoothing a substance on a roof with a trowel
v_PqP3JIJEU5I_23_27,he moves quickly to smooth out dents
v_PqP3JIJEU5I_28_49,the man moves to the bottom and smooths back up the top
v_PqP3JIJEU5I_52_55,he finishes and walks away
v_RVYINuYPY6o_1_233,three boys in a grass covered back yard take turns playing a game of cricket on the lawn
v_RVYINuYPY6o_17_73,the boys take turns throwing and hitting the cricket ball helping each other out by redistributing the ball back into the game when they land in the field
v_RVYINuYPY6o_73_230,one of the boys puts on a football helmet and stands on the side lines catching the ball
v_b5E7-GxvCdk_0_20,a woman is on her hands and knees cutting grass with some scissors
v_b5E7-GxvCdk_4_14,the camera pans out to give a full view of her cutting the grass
v_b5E7-GxvCdk_6_15,she makes a joke about the grass having split ends and bad roots
v_b5E7-GxvCdk_13_20,the camera goes back to a close up of the grass and the video ends
v_CBckvP5FR4A_0_131,then the man is shown sitting down playing the guitar and he never looks up at the camera
v_bNuRrXSjJl0_0_123,a woman is seen standing ready on a diving board and leads into her holding out her arms and performing an impressive dive
v_bNuRrXSjJl0_110_222,the woman is seen several more times diving into the pool and coming to the surface
v_qRuPuzY6yiE_0_24,a large group of army solider are seen holding a large rope on one side of each other while other soldiers watch
v_qRuPuzY6yiE_22_49,a man stands in the middle and the people begin pulling the rope from one another
v_qRuPuzY6yiE_48_85,one side pulls the others down and the rest of the team cheer while the camera pans around
v_R0dqEWnDC7k_17_49,the video shows two countries represented by blue and green uniforms playing the game of cricket professionally
v_R0dqEWnDC7k_48_75,the batsmen is batting while the bowler is doing an overhand throw
v_R0dqEWnDC7k_74_84,the next scene shows a team of cricketers wearing white uniforms getting ready to play as they gather in a circle with their captain
v_kM7jFLYDUy0_0_3,a boy is in a bumper car spinning around by himself
v_kM7jFLYDUy0_2_10,he moves back and forward in his car
v_kM7jFLYDUy0_9_12,he looks lonely as he finally comes to a stop
v_jwd8ELi0au8_6_124,two men are playing a game of darts
v_jwd8ELi0au8_88_97,we see a mans socks and a man close to the camera
v_q4FZTmaqEx8_0_52,a man is seen speaking to the camera and begins kneeling down on a roof
v_q4FZTmaqEx8_48_164,the man then use a tool to scrape off tiles on the roof as well as another tool to put them back down
v_q4FZTmaqEx8_125_204,the man continues taking off tiles on the roof and gluing others down and ends by smiling to the camera
v_yPEf9ajKwI8_0_41,people are moving the furniture out of the living room even the carpet and everything
v_yPEf9ajKwI8_40_106,they come in and sweep the floor and then start putting down some tarp and wood
v_yPEf9ajKwI8_104_169,they are remodeling the floor from carpet to wood floors
v_yPEf9ajKwI8_167_217,once the floor is done they bring back all the furniture
v_nR7tqWpNpe8_7_135,there s a group of rafters wearing yellow vests going on an adventure
v_nR7tqWpNpe8_24_131,they are rowing the raft through the river as the turbulent waves gush towards their raft
v_nR7tqWpNpe8_34_108,they continue rafting through the river as they stay afloat against the fierce waves
v_nR7tqWpNpe8_68_105,the rafters stay afloat despite the turbulent and agitated waves of the river
v_nR7tqWpNpe8_99_114,some of the rafters are on top of a hill and one of the rafter is diving into the water
v_nR7tqWpNpe8_107_133,the rafters continue their journey through the turbulent waters of the river
